Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,27pF,C_0402_1005Metric,129.4375,-25.7825,90,top
C2,27pF,C_0402_1005Metric,123.0775,-26.1725,90,top
C3,100nF,C_0402_1005Metric,128.38,-21.77,0,top
C4,100nF,C_0402_1005Metric,131.88,-27.07,180,top
C5,100nF,C_0402_1005Metric,147.86,-22.51,0,top
C6,1uF,C_0402_1005Metric,145.8,-24.8,0,top
C7,1uF,C_0402_1005Metric,145.8,-25.77,0,top
C8,100nF,C_0402_1005Metric,143.18,-28.36,-90,top
C9,100nF,C_0402_1005Metric,145.33,-23.1725,0,top
C10,100nF,C_0402_1005Metric,134.8375,-20.3125,180,top
C11,100nF,C_0402_1005Metric,131.88,-26.07,180,top
C12,1uF,C_0402_1005Metric,175.99,-22.67,-90,top
C13,1uF,C_0402_1005Metric,180.87,-24.02,90,top
C14,100nF,C_0402_1005Metric,159.8575,-21.3275,-90,top
D1,D,D_SOD-123,39.87,-29.93,90,top
D2,D,D_SOD-123,39.86,-48.96,90,top
D3,D,D_SOD-123,39.86,-68.01,90,top
D4,D,D_SOD-123,39.87,-90.06,90,top
D5,D,D_SOD-123,58.91,-29.91,90,top
D6,D,D_SOD-123,58.91,-48.95,90,top
D7,D,D_SOD-123,58.92,-68.01,90,top
D8,D,D_SOD-123,58.92,-90.05,90,top
D9,D,D_SOD-123,77.96,-29.91,90,top
D10,D,D_SOD-123,77.95,-48.96,90,top
D11,D,D_SOD-123,77.97,-68.01,90,top
D12,D,D_SOD-123,77.96,-90.06,90,top
D13,D,D_SOD-123,97.05,-29.92,90,top
D14,D,D_SOD-123,96.99,-48.94,90,top
D15,D,D_SOD-123,97.02,-68.01,90,top
D16,D,D_SOD-123,91.69,-83.92,0,top
D17,D,D_SOD-123,116.06,-29.91,90,top
D18,D,D_SOD-123,116.06,-48.96,90,top
D19,D,D_SOD-123,116.07,-68,90,top
D20,D,D_SOD-123,116.02,-90.08,90,top
D21,D,D_SOD-123,138.07,-33.97,90,top
D22,D,D_SOD-123,138.11,-40.97,90,top
D23,D,D_SOD-123,138.1,-69.5,90,top
D24,D,D_SOD-123,138.14,-89.57,90,top
D25,D,D_SOD-123,160.14,-33.3375,90,top
D26,D,D_SOD-123,160.14,-52.3875,90,top
D27,D,D_SOD-123,160.14,-71.4375,90,top
D28,D,D_SOD-123,154.83,-83.95,0,top
D29,D,D_SOD-123,179.19,-33.3375,90,top
D30,D,D_SOD-123,179.19,-52.3875,90,top
D31,D,D_SOD-123,179.19,-71.4375,90,top
D32,D,D_SOD-123,177.53,-83.94,0,top
D33,D,D_SOD-123,198.24,-33.3375,90,top
D34,D,D_SOD-123,198.22,-52.3875,90,top
D35,D,D_SOD-123,198.24,-71.4375,90,top
D36,D,D_SOD-123,198.25,-90.08,90,top
D37,D,D_SOD-123,220.3,-31.42,90,top
D38,D,D_SOD-123,220.29,-50.45,90,top
D39,D,D_SOD-123,220.31,-69.51,90,top
D40,D,D_SOD-123,220.23,-90.23,90,top
D41,D,D_SOD-123,242.36,-29.91,90,top
D42,D,D_SOD-123,242.35,-48.96,90,top
D43,D,D_SOD-123,242.37,-68.02,90,top
D44,D,D_SOD-123,237.02,-83.95,0,top
D45,D,D_SOD-123,261.41,-29.91,90,top
D46,D,D_SOD-123,261.42,-48.96,90,top
D47,D,D_SOD-123,261.41,-67.99,90,top
D48,D,D_SOD-123,261.41,-90.06,90,top
D49,D,D_SOD-123,280.46,-29.91,90,top
D50,D,D_SOD-123,280.47,-48.96,90,top
D51,D,D_SOD-123,280.43,-68.01,90,top
D52,D,D_SOD-123,280.47,-90.06,90,top
D53,D,D_SOD-123,299.51,-29.91,90,top
D54,D,D_SOD-123,299.51,-48.96,90,top
D55,D,D_SOD-123,299.51,-68.01,90,top
D56,D,D_SOD-123,299.5,-90.05,90,top
D57,D,D_SOD-123,318.56,-29.91,90,top
D58,D,D_SOD-123,318.55,-48.96,90,top
D59,D,D_SOD-123,318.57,-68.01,90,top
D60,D,D_SOD-123,318.56,-90.06,90,top
J2,USB_C_Receptacle_USB2.0,USB C-31-M-12,169.665,-23.53,180,top
R1,1k,R_0402_1005Metric,136.18,-31.47,90,top
R2,1k,R_0402_1005Metric,124.1575,-26.1825,-90,top
R3,27R,R_0402_1005Metric,147.88,-23.49,0,top
R4,27R,R_0402_1005Metric,147.88,-24.47,0,top
R5,1k,R_0402_1005Metric,134.8475,-19.2925,180,top
R6,10k,R_0402_1005Metric,136.3875,-19.8225,-90,top
R7,5.1k,R_0402_1005Metric,171.45,-25.82,0,top
R8,5.1k,R_0402_1005Metric,167.39,-25.89,180,top
U1,RP2040,RP2040-QFN-56,138.82,-25.249061,-45,top
U2,XC6206PxxxMR,SOT-23-3,178.45,-23.3575,90,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,154.5575,-22.7625,0,top
U4,USBLC6-2SC6,SOT-23-6,160.17,-28.01,180,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,126.78,-25.99,180,top
